# Force       
# CofR        : (0.000000e+00 0.000000e+00 1.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0              0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2              1.611571e+00 2.163201e-03 -1.456100e-01 1.223183e+00 2.756232e-03 -1.282585e-01 3.883883e-01 -5.930311e-04 -1.735155e-02
4              1.455173e+00 3.995730e-03 -4.494297e-01 1.114633e+00 4.522951e-03 -4.198583e-01 3.405400e-01 -5.272207e-04 -2.957137e-02
6              1.432662e+00 4.859181e-03 -6.513264e-01 1.100071e+00 4.340858e-03 -5.988397e-01 3.325905e-01 5.183225e-04 -5.248670e-02
8              1.438638e+00 4.400219e-03 -7.077626e-01 1.103638e+00 3.160280e-03 -6.420598e-01 3.350001e-01 1.239939e-03 -6.570286e-02
10             1.382392e+00 1.967473e-03 -6.989890e-01 1.058935e+00 9.338402e-04 -6.303873e-01 3.234574e-01 1.033633e-03 -6.860175e-02
12             1.333114e+00 -1.086262e-03 -6.668391e-01 1.024674e+00 -1.045441e-03 -6.041783e-01 3.084392e-01 -4.082197e-05 -6.266082e-02
14             1.320034e+00 -2.466631e-03 -6.606663e-01 1.017004e+00 -1.244144e-03 -6.020961e-01 3.030304e-01 -1.222487e-03 -5.857017e-02
16             1.307510e+00 -1.103281e-03 -6.803494e-01 1.005806e+00 1.836798e-04 -6.219498e-01 3.017039e-01 -1.286961e-03 -5.839962e-02
18             1.298563e+00 1.290727e-03 -6.995925e-01 9.976896e-01 1.297802e-03 -6.401713e-01 3.008733e-01 -7.075128e-06 -5.942122e-02
20             1.286055e+00 2.305995e-03 -7.065618e-01 9.871472e-01 9.053796e-04 -6.469559e-01 2.989082e-01 1.400616e-03 -5.960589e-02
22             1.272018e+00 1.067832e-03 -7.052909e-01 9.763330e-01 -3.217282e-04 -6.458331e-01 2.956854e-01 1.389560e-03 -5.945776e-02
24             1.264269e+00 -9.819284e-04 -7.010501e-01 9.711570e-01 -8.170100e-04 -6.412035e-01 2.931123e-01 -1.649184e-04 -5.984658e-02
26             1.261046e+00 -2.453500e-03 -6.994208e-01 9.690267e-01 -8.688080e-04 -6.388948e-01 2.920192e-01 -1.584692e-03 -6.052604e-02
28             1.256476e+00 -1.048272e-03 -6.982785e-01 9.654185e-01 2.973727e-04 -6.377329e-01 2.910576e-01 -1.345645e-03 -6.054564e-02
30             1.250068e+00 2.338976e-03 -6.978837e-01 9.603157e-01 2.135596e-03 -6.380805e-01 2.897523e-01 2.033801e-04 -5.980319e-02
32             1.245073e+00 4.401673e-03 -6.990363e-01 9.564849e-01 2.705199e-03 -6.400761e-01 2.885882e-01 1.696473e-03 -5.896020e-02
34             1.243744e+00 3.049606e-03 -6.992799e-01 9.556211e-01 1.232370e-03 -6.402710e-01 2.881227e-01 1.817235e-03 -5.900884e-02
36             1.243536e+00 -1.577339e-03 -7.014580e-01 9.553547e-01 -2.070567e-03 -6.416504e-01 2.881818e-01 4.932272e-04 -5.980755e-02
38             1.241178e+00 -4.794175e-03 -7.025581e-01 9.532329e-01 -3.324907e-03 -6.421651e-01 2.879451e-01 -1.469268e-03 -6.039304e-02
40             1.236365e+00 -3.064020e-03 -7.042803e-01 9.492766e-01 -6.799968e-04 -6.439658e-01 2.870886e-01 -2.384023e-03 -6.031446e-02
42             1.232639e+00 1.809077e-03 -7.051415e-01 9.464918e-01 2.820670e-03 -6.451901e-01 2.861473e-01 -1.011593e-03 -5.995148e-02
44             1.232618e+00 4.097805e-03 -7.046259e-01 9.466700e-01 2.160057e-03 -6.444322e-01 2.859475e-01 1.937748e-03 -6.019375e-02
